Year,Region,abundance,StdDevA,CL95A,Yc_mean1,Yc_sd1,Anomaly_yr,TotalTows,taxa
1974,SC,0.1191,0.3951,0.251,0.777442424,0.550854223,-1.19513003,12,Nyctiphanes_simplex
1975,SC,0.1065,0.3952,0.1337,0.777442424,0.550854223,-1.218003595,36,Nyctiphanes_simplex
1976,SC,0,0,N/A,0.777442424,0.550854223,-1.411339682,8,Nyctiphanes_simplex
1977,SC,0.7353,0.9349,0.4394,0.777442424,0.550854223,-0.076503769,20,Nyctiphanes_simplex
1978,SC,1.1111,0.9875,0.2288,0.777442424,0.550854223,0.605709391,74,Nyctiphanes_simplex
1979,SC,0.4829,0.6339,0.326,0.777442424,0.550854223,-0.534701218,17,Nyctiphanes_simplex
1980,SC,1.4716,0.9697,0.3557,0.777442424,0.550854223,1.260147508,31,Nyctiphanes_simplex
1981,SC,0.9557,1.0594,0.4582,0.777442424,0.550854223,0.323602087,23,Nyctiphanes_simplex
1982,SC,1.2509,1.0254,0.3829,0.777442424,0.550854223,0.859497044,30,Nyctiphanes_simplex
1983,SC,1.158,1.0745,0.3228,0.777442424,0.550854223,0.690849884,45,Nyctiphanes_simplex
1984,SC,1.9222,0.9409,0.262,0.777442424,0.550854223,2.078149769,52,Nyctiphanes_simplex
1985,SC,1.7227,0.8684,0.2641,0.777442424,0.550854223,1.715984986,44,Nyctiphanes_simplex
1986,SC,1.8809,0.9985,0.343,0.777442424,0.550854223,2.003175305,35,Nyctiphanes_simplex
1987,SC,1.0866,1.0278,0.4152,0.777442424,0.550854223,0.561233014,26,Nyctiphanes_simplex
1988,SC,2.0423,0.8776,0.4513,0.777442424,0.550854223,2.296174784,17,Nyctiphanes_simplex
1989,SC,1.2441,0.9352,0.3949,0.777442424,0.550854223,0.84715258,24,Nyctiphanes_simplex
1990,SC,1.634,1.1054,0.3321,0.777442424,0.550854223,1.554962348,45,Nyctiphanes_simplex
1991,SC,0.9289,0.9296,0.3678,0.777442424,0.550854223,0.274950377,27,Nyctiphanes_simplex
1992,SC,0.8385,0.9151,0.3194,0.777442424,0.550854223,0.110841623,34,Nyctiphanes_simplex
1993,SC,1.1193,0.8901,0.4742,0.777442424,0.550854223,0.620595362,16,Nyctiphanes_simplex
1994,SC,1.1256,0.9627,0.3307,0.777442424,0.550854223,0.632032145,35,Nyctiphanes_simplex
1995,SC,1.0821,1.0045,0.5165,0.777442424,0.550854223,0.553063884,17,Nyctiphanes_simplex
1996,SC,0.7132,0.8939,0.2938,0.777442424,0.550854223,-0.116623276,38,Nyctiphanes_simplex
1997,SC,0.826,0.9026,0.3009,0.777442424,0.550854223,0.088149594,37,Nyctiphanes_simplex
1998,SC,1.2561,0.9935,0.371,0.777442424,0.550854223,0.868936928,30,Nyctiphanes_simplex
1999,SC,0.6655,0.9075,0.4025,0.777442424,0.550854223,-0.203216059,22,Nyctiphanes_simplex
2000,SC,0.0691,0.3088,0.1406,0.777442424,0.550854223,-1.285898146,21,Nyctiphanes_simplex
2001,SC,0.0899,0.4121,0.1828,0.777442424,0.550854223,-1.24813861,22,Nyctiphanes_simplex
2002,SC,0.3578,0.6826,0.2549,0.777442424,0.550854223,-0.761803044,30,Nyctiphanes_simplex
2003,SC,0.3063,0.5598,0.2631,0.777442424,0.550854223,-0.855294204,20,Nyctiphanes_simplex
2004,SC,0.4121,0.5101,0.2718,0.777442424,0.550854223,-0.66322887,16,Nyctiphanes_simplex
2005,SC,0.7082,0.8875,0.4564,0.777442424,0.550854223,-0.125700087,17,Nyctiphanes_simplex
2006,SC,0.5859,0.5831,0.2654,0.777442424,0.550854223,-0.347718899,21,Nyctiphanes_simplex
2007,SC,0.6206,0.6284,0.3628,0.777442424,0.550854223,-0.284725827,14,Nyctiphanes_simplex
2008,SC,0.1702,0.3684,0.2127,0.777442424,0.550854223,-1.102365016,14,Nyctiphanes_simplex
2009,SC,0.1012,0.2691,0.1193,0.777442424,0.550854223,-1.227625016,22,Nyctiphanes_simplex
2010,SC,0,0,N/A,0.777442424,0.550854223,-1.411339682,16,Nyctiphanes_simplex
2011,SC,0,0,N/A,0.777442424,0.550854223,-1.411339682,11,Nyctiphanes_simplex
2012,SC,0,0,N/A,0.777442424,0.550854223,-1.411339682,20,Nyctiphanes_simplex
2013,SC,0.0793,0.3173,0.1632,0.777442424,0.550854223,-1.26738145,17,Nyctiphanes_simplex
2014,SC,0.4742,0.7945,0.4801,0.777442424,0.550854223,-0.55049487,13,Nyctiphanes_simplex
2015,SC,1.204,0.847,0.4355,0.777442424,0.550854223,0.774356551,17,Nyctiphanes_simplex
2016,SC,2.2483,1.0223,0.4805,0.777442424,0.550854223,2.670139421,20,Nyctiphanes_simplex
2017,SC,1.4424,0.9367,0.5187,0.777442424,0.550854223,1.207138928,15,Nyctiphanes_simplex
2018,SC,1.0914,0.8496,0.4095,0.777442424,0.550854223,0.569946754,19,Nyctiphanes_simplex
2019,SC,1.1631,0.8917,0.4585,0.777442424,0.550854223,0.700108232,17,Nyctiphanes_simplex
2021,SC,0.5993,0.8543,0.5428,0.777442424,0.550854223,-0.323393044,12,Nyctiphanes_simplex
