"","Year","LogMean","LogSTD","CL95","taxa","season","n","num_samples","Yc_mean","Yc_sd","Anomaly_yr"
"42",2013,1.710432285,0.492817912,0.365084618,"Acartia","Spring",7,13,1.36999951416,0.413150400927883,0.823992352604358
"43",2014,1.745865501,0.484312999,0.253698663,"Acartia","Spring",14,15,1.36999951416,0.413150400927883,0.909755832248626
"44",2015,1.064985798,0.503174872,0.284697985,"Acartia","Spring",12,15,1.36999951416,0.413150400927883,-0.73826314938816
"45",2016,1.161095003,0.372275591,0.202371317,"Acartia","Spring",13,15,1.36999951416,0.413150400927883,-0.505637924326896
"46",2017,0.923725503,0.580362165,0.304012294,"Acartia","Spring",14,14,1.36999951416,0.413150400927883,-1.08017324963918
"47",2018,0.939136065,0.507470412,0.275864058,"Acartia","Spring",13,15,1.36999951416,0.413150400927883,-1.04287312366716
"48",2019,1.331047547,0.739110656,0.374041599,"Acartia","Spring",15,15,1.36999951416,0.413150400927883,-0.0942803566752414
"49",2020,0.969497906,0.46311868,0.2425964,"Acartia","Spring",14,15,1.36999951416,0.413150400927883,-0.969384532268453
"50",2021,0.764343625,0.649181372,0.328531103,"Acartia","Spring",15,15,1.36999951416,0.413150400927883,-1.46594530175881
"51",2022,1.28488864,0.479136726,0.332024811,"Acartia","Spring",8,8,1.36999951416,0.413150400927883,-0.206004578402567
"52",1997,2.80369972,0.3076547,0.20100107,"Aglantha","Fall",9,13,1.98650062492308,0.299784486326516,2.72595525235704
"53",1998,2.182941704,0.441703974,0.240113015,"Aglantha","Fall",13,13,1.98650062492308,0.299784486326516,0.655274332184639
"54",1999,2.435205016,0.443220536,0.240937428,"Aglantha","Fall",13,13,1.98650062492308,0.299784486326516,1.49675654192528
"55",2000,1.909072156,0.50203941,0.284055537,"Aglantha","Fall",12,12,1.98650062492308,0.299784486326516,-0.25828043963137
"56",2001,2.255830787,0.453229805,0.246378529,"Aglantha","Fall",13,13,1.98650062492308,0.299784486326516,0.898412607594299
"57",2002,1.648879244,0.834818043,0.453812258,"Aglantha","Fall",13,13,1.98650062492308,0.299784486326516,-1.12621365121393
"58",2003,1.933438541,0.795297123,0.432328441,"Aglantha","Fall",13,13,1.98650062492308,0.299784486326516,-0.177000766695057
"59",2004,1.648391962,0.796002694,0.470407531,"Aglantha","Fall",11,13,1.98650062492308,0.299784486326516,-1.12783909222981
"60",2005,1.867313887,0.746702499,0.405912102,"Aglantha","Fall",13,13,1.98650062492308,0.299784486326516,-0.397574735716185
"61",2006,1.686508533,0.497543822,0.270467902,"Aglantha","Fall",13,13,1.98650062492308,0.299784486326516,-1.0006925161442
"62",2007,1.736707639,0.431678935,0.234663342,"Aglantha","Fall",13,13,1.98650062492308,0.299784486326516,-0.833241869797792
"63",2008,1.933769059,0.468440569,0.254647194,"Aglantha","Fall",13,13,1.98650062492308,0.299784486326516,-0.175898248002211
"64",2009,1.818248184,0.638138413,0.346895993,"Aglantha","Fall",13,13,1.98650062492308,0.299784486326516,-0.561244656068765
"65",2010,2.158064933,0.591868686,0.321743483,"Aglantha","Fall",13,13,1.98650062492308,0.299784486326516,0.572292149534583
"66",2011,1.870467402,0.367114544,0.19956574,"Aglantha","Fall",13,13,1.98650062492308,0.299784486326516,-0.387055462225277
"67",2012,1.800165883,0.645812477,0.351067662,"Aglantha","Fall",13,13,1.98650062492308,0.299784486326516,-0.621562323675838
"68",2013,1.902168884,0.450876829,0.245099436,"Aglantha","Fall",13,13,1.98650062492308,0.299784486326516,-0.281307888731859
"69",2014,1.825620039,0.774425197,0.420982333,"Aglantha","Fall",13,13,1.98650062492308,0.299784486326516,-0.536654140761143
"70",2015,2.230601343,0.697553676,0.353010866,"Aglantha","Fall",15,15,1.98650062492308,0.299784486326516,0.814254003160977
"71",2016,2.332373396,0.787456776,0.398508112,"Aglantha","Fall",15,15,1.98650062492308,0.299784486326516,1.15373805801348
"72",2017,2.420027503,0.712395481,0.360521855,"Aglantha","Fall",15,15,1.98650062492308,0.299784486326516,1.44612846178017
"73",2018,1.78724225,0.791328882,0.548362938,"Aglantha","Fall",8,8,1.98650062492308,0.299784486326516,-0.664672069474772
"74",2019,1.852974766,0.729961429,0.584090791,"Aglantha","Fall",6,6,1.98650062492308,0.299784486326516,-0.445406166807593
"75",2020,2.222767168,0.947331703,0.656467378,"Aglantha","Fall",8,8,1.98650062492308,0.299784486326516,0.788121313321025
"76",2021,1.878457431,1.089648997,0.755088231,"Aglantha","Fall",8,8,1.98650062492308,0.299784486326516,-0.360402885576272
"77",2022,1.508078818,1.200709967,1.176695768,"Aglantha","Fall",4,4,1.98650062492308,0.299784486326516,-1.59588580711943
"78",1998,2.138509452,0.552728422,0.326641624,"Aglantha","Spring",11,13,2.27026741584,0.463085557095186,-0.284521859559782
"79",1999,2.554998975,0.816380936,0.443789732,"Aglantha","Spring",13,13,2.27026741584,0.463085557095186,0.614857351514148
"80",2000,2.659504403,0.854240989,0.464370691,"Aglantha","Spring",13,13,2.27026741584,0.463085557095186,0.840529317307111
"81",2001,2.205231351,0.950431062,0.516660211,"Aglantha","Spring",13,13,2.27026741584,0.463085557095186,-0.140440710887107
"82",2002,2.542205922,0.640747411,0.362536976,"Aglantha","Spring",12,13,2.27026741584,0.463085557095186,0.587231672405848
"83",2003,2.173552315,0.999365797,0.590587445,"Aglantha","Spring",11,13,2.27026741584,0.463085557095186,-0.208849313821551
"84",2004,2.585579087,0.686400613,0.373131624,"Aglantha","Spring",13,13,2.27026741584,0.463085557095186,0.680892906999448
"85",2005,2.490663782,0.680318436,0.384926392,"Aglantha","Spring",12,13,2.27026741584,0.463085557095186,0.475930123026268
"86",2006,2.63052874,0.558887928,0.303814938,"Aglantha","Spring",13,13,2.27026741584,0.463085557095186,0.777958454199747
"87",2007,2.379844514,0.582532538,0.316668295,"Aglantha","Spring",13,13,2.27026741584,0.463085557095186,0.23662387323705
"88",2008,1.675304849,0.524142526,0.513659675,"Aglantha","Spring",4,4,2.27026741584,0.463085557095186,-1.2847789306409
"89",2009,1.960240551,0.62850209,0.341657628,"Aglantha","Spring",13,13,2.27026741584,0.463085557095186,-0.669480747326082
"90",2010,1.125957623,0.715218478,0.404672949,"Aglantha","Spring",12,13,2.27026741584,0.463085557095186,-2.47105480900323
"91",2011,1.758672037,0.374901707,0.328615835,"Aglantha","Spring",4,6,2.27026741584,0.463085557095186,-1.10475347590001
"92",2012,1.5214741,0.610400891,0.360723875,"Aglantha","Spring",11,11,2.27026741584,0.463085557095186,-1.61696538440323
"93",2013,2.147149191,0.777309916,0.422550483,"Aglantha","Spring",13,13,2.27026741584,0.463085557095186,-0.265864963727844
"94",2014,2.501291709,0.496943439,0.251488079,"Aglantha","Spring",15,15,2.27026741584,0.463085557095186,0.498880368045064
"95",2015,2.074285909,0.844354837,0.427302504,"Aglantha","Spring",15,15,2.27026741584,0.463085557095186,-0.423207987891786
"96",2016,2.477297474,0.90623052,0.45861592,"Aglantha","Spring",15,15,2.27026741584,0.463085557095186,0.447066540918799
"97",2017,2.873351406,0.42114642,0.228937802,"Aglantha","Spring",13,13,2.27026741584,0.463085557095186,1.30231656098926
"98",2018,2.961872368,0.33772475,0.176911043,"Aglantha","Spring",14,14,2.27026741584,0.463085557095186,1.49347122051971
"99",2019,1.606284234,0.81276239,0.563215601,"Aglantha","Spring",8,8,2.27026741584,0.463085557095186,-1.43382399141315
"100",2020,2.866864215,0.28537283,0.197753282,"Aglantha","Spring",8,8,2.27026741584,0.463085557095186,1.28830793795923
"101",2021,2.196912547,0.895850608,0.620792799,"Aglantha","Spring",8,8,2.27026741584,0.463085557095186,-0.158404570637305
"102",2022,2.649108642,0.363922027,0.356643586,"Aglantha","Spring",4,4,2.27026741584,0.463085557095186,0.818080418090279
"103",1997,1.449785028,0.474942485,0.280673073,"Calanus","Fall",11,13,2.24013670953846,0.39456014309621,-2.00312093192277
"104",1998,1.533536707,0.446955681,0.242967876,"Calanus","Fall",13,13,2.24013670953846,0.39456014309621,-1.79085499359768
"105",1999,2.374396917,0.287349259,0.156204837,"Calanus","Fall",13,13,2.24013670953846,0.39456014309621,0.340278180172903
"106",2000,2.062099865,0.368392874,0.208437891,"Calanus","Fall",12,12,2.24013670953846,0.39456014309621,-0.451228659695231
"107",2001,2.18050252,0.344739624,0.195054804,"Calanus","Fall",12,13,2.24013670953846,0.39456014309621,-0.151140936513499
"108",2002,2.743101423,0.326346699,0.177404086,"Calanus","Fall",13,13,2.24013670953846,0.39456014309621,1.27474789905197
"109",2003,1.473492102,0.264415879,0.149607367,"Calanus","Fall",12,13,2.24013670953846,0.39456014309621,-1.94303611490612
"110",2004,2.529198867,0.517648266,0.281396803,"Calanus","Fall",13,13,2.24013670953846,0.39456014309621,0.732618746519091
"111",2005,2.026602518,0.385145114,0.238715415,"Calanus","Fall",10,13,2.24013670953846,0.39456014309621,-0.541195544645758
"112",2006,2.600143392,0.312315382,0.169776575,"Calanus","Fall",13,13,2.24013670953846,0.39456014309621,0.912425364702269
"113",2007,2.671404276,0.494916181,0.292476773,"Calanus","Fall",11,13,2.24013670953846,0.39456014309621,1.09303378460195
"114",2008,2.330221599,0.78959956,0.42923121,"Calanus","Fall",13,13,2.24013670953846,0.39456014309621,0.228317256666171
"115",2009,2.788744506,0.567857558,0.335582372,"Calanus","Fall",11,13,2.24013670953846,0.39456014309621,1.3904288257716
"116",2010,2.131730672,0.612870551,0.362183351,"Calanus","Fall",11,13,2.24013670953846,0.39456014309621,-0.274751617555115
"117",2011,2.262725023,0.641613813,0.348785242,"Calanus","Fall",13,13,2.24013670953846,0.39456014309621,0.057249354393179
"118",2012,2.537469162,0.434262663,0.236067873,"Calanus","Fall",13,13,2.24013670953846,0.39456014309621,0.753579543357568
"119",2013,2.856936759,0.368416519,0.21772025,"Calanus","Fall",11,13,2.24013670953846,0.39456014309621,1.56325989903936
"120",2014,2.131960654,0.315151253,0.171318173,"Calanus","Fall",13,13,2.24013670953846,0.39456014309621,-0.27416873556862
"121",2015,1.818615081,0.791834377,0.414788212,"Calanus","Fall",14,15,2.24013670953846,0.39456014309621,-1.06833301820776
"122",2016,1.995959314,0.844587375,0.427420184,"Calanus","Fall",15,15,2.24013670953846,0.39456014309621,-0.618859760193571
"123",2017,2.106204528,1.067485312,0.580291626,"Calanus","Fall",13,15,2.24013670953846,0.39456014309621,-0.339446809014876
"124",2018,2.291735244,0.489015103,0.338870177,"Calanus","Fall",8,8,2.24013670953846,0.39456014309621,0.130774827017833
"125",2019,2.281613062,0.470955119,0.376842579,"Calanus","Fall",6,6,2.24013670953846,0.39456014309621,0.105120482104612
"126",2020,2.29167349,1.00491403,0.696369895,"Calanus","Fall",8,8,2.24013670953846,0.39456014309621,0.130618313489844
"127",2021,1.985585491,0.740516351,0.513151651,"Calanus","Fall",8,8,2.24013670953846,0.39456014309621,-0.645151881132584
"128",2022,2.788116248,0.771547461,0.756116512,"Calanus","Fall",4,4,2.24013670953846,0.39456014309621,1.38883652606523
"129",1998,2.063,0.811,0.440948331,"Calanus","Spring",13,13,2.37528,0.442891777601105,-0.705093243526544
"130",1999,1.793,0.92,0.520755208,"Calanus","Spring",12,13,2.37528,0.442891777601105,-1.31472298527167
"131",2000,2.186,0.949,0.58809947,"Calanus","Spring",10,13,2.37528,0.442891777601105,-0.427373027842655
"132",2001,1.886,0.877,0.572702515,"Calanus","Spring",9,13,2.37528,0.442891777601105,-1.10473940755946
"133",2002,2.617,0.369,0.200497266,"Calanus","Spring",13,13,2.37528,0.442891777601105,0.545776671017152
"134",2003,2.506,1.35,0.83700125,"Calanus","Spring",10,13,2.37528,0.442891777601105,0.295151110521934
"135",2004,2.796,0.433,0.235293238,"Calanus","Spring",13,13,2.37528,0.442891777601105,0.949938610914844
"136",2005,3.137,0.741,0.402612379,"Calanus","Spring",13,13,2.37528,0.442891777601105,1.71987839585961
"137",2006,3.417,0.531,0.288876489,"Calanus","Spring",13,13,2.37528,0.442891777601105,2.35208701692863
"138",2007,2.197,0.4,0.226276447,"Calanus","Spring",12,13,2.37528,0.442891777601105,-0.402536260586372
"139",2008,2.332,0.324,0.317707005,"Calanus","Spring",4,4,2.37528,0.442891777601105,-0.0977213897138113
"140",2009,2.15,0.646,0.351121004,"Calanus","Spring",13,13,2.37528,0.442891777601105,-0.508656993408672
"141",2010,1.843,0.962,0.544547705,"Calanus","Spring",12,13,2.37528,0.442891777601105,-1.2018285886522
"142",2011,1.938,0.613,0.601174009,"Calanus","Spring",4,6,2.37528,0.442891777601105,-0.987329235075213
"143",2012,1.902,0.702,0.414598376,"Calanus","Spring",11,11,2.37528,0.442891777601105,-1.06861320064123
"144",2013,2.336,0.675,0.381699108,"Calanus","Spring",12,13,2.37528,0.442891777601105,-0.0886898379842539
"145",2014,2.083,0.642,0.324979519,"Calanus","Spring",15,15,2.37528,0.442891777601105,-0.659935484878757
"146",2015,2.267,0.902,0.472755524,"Calanus","Spring",14,15,2.37528,0.442891777601105,-0.244484105319118
"147",2016,2.957,0.557,0.291940223,"Calanus","Spring",14,15,2.37528,0.442891777601105,1.31345856802953
"148",2017,2.416,1.173,0.637540932,"Calanus","Spring",13,13,2.37528,0.442891777601105,0.0919411966068938
"149",2018,2.606,1.085,0.568320004,"Calanus","Spring",14,14,2.37528,0.442891777601105,0.520939903760869
"150",2019,2.361,1.006,0.697334305,"Calanus","Spring",8,8,2.37528,0.442891777601105,-0.0322426396745195
"151",2020,3.217,0.503,0.348469056,"Calanus","Spring",8,8,2.37528,0.442891777601105,1.90050943045076
"152",2021,2.078,1.076,0.745556795,"Calanus","Spring",8,8,2.37528,0.442891777601105,-0.671224924540705
"153",2022,2.298,0.958,0.939300409,"Calanus","Spring",4,4,2.37528,0.442891777601105,-0.174489579415049
"154",1997,1.231787661,0.720083914,0.446312634,"Cyphocaris","Fall",10,13,1.52981698457692,0.213916712989105,-1.39320261335589
"155",1998,1.66461574,0.673034137,0.439715636,"Cyphocaris","Fall",9,13,1.52981698457692,0.213916712989105,0.630145973820859
"156",1999,1.445315821,0.769957822,0.53355355,"Cyphocaris","Fall",8,13,1.52981698457692,0.213916712989105,-0.39501898844728
"157",2000,1.397301925,0.561665432,0.331923059,"Cyphocaris","Fall",11,12,1.52981698457692,0.213916712989105,-0.619470343038004
"158",2001,1.631506191,0.652899482,0.369412658,"Cyphocaris","Fall",12,13,1.52981698457692,0.213916712989105,0.475368216920274
"159",2002,1.662608733,0.639592705,0.377975135,"Cyphocaris","Fall",11,13,1.52981698457692,0.213916712989105,0.620763784968218
"160",2003,1.247058325,0.654618725,0.405736889,"Cyphocaris","Fall",10,13,1.52981698457692,0.213916712989105,-1.32181658752079
"161",2004,1.358252463,0.724587799,0.409974142,"Cyphocaris","Fall",12,13,1.52981698457692,0.213916712989105,-0.802015509586019
"162",2005,1.610304428,0.510903903,0.33379055,"Cyphocaris","Fall",9,13,1.52981698457692,0.213916712989105,0.376255984389477
"163",2006,1.68768975,0.541868149,0.294562881,"Cyphocaris","Fall",13,13,1.52981698457692,0.213916712989105,0.738010430401095
"164",2007,1.855505711,0.387896143,0.268798313,"Cyphocaris","Fall",8,13,1.52981698457692,0.213916712989105,1.52250248179376
"165",2008,1.50776375,0.537222648,0.350985463,"Cyphocaris","Fall",9,13,1.52981698457692,0.213916712989105,-0.103092620809138
"166",2009,1.606068847,0.550971002,0.299511249,"Cyphocaris","Fall",13,13,1.52981698457692,0.213916712989105,0.35645584376084
"167",2010,1.282730794,0.53340314,0.301801237,"Cyphocaris","Fall",12,13,1.52981698457692,0.213916712989105,-1.15505790606229
"168",2011,1.513883456,0.447788331,0.253360099,"Cyphocaris","Fall",12,13,1.52981698457692,0.213916712989105,-0.0744847298478011
"169",2012,1.311883934,0.617993094,0.36521058,"Cyphocaris","Fall",11,13,1.52981698457692,0.213916712989105,-1.01877523981973
"170",2013,1.905770313,0.488941327,0.276644598,"Cyphocaris","Fall",12,13,1.52981698457692,0.213916712989105,1.75747524898732
"171",2014,1.778111361,0.551565953,0.312077816,"Cyphocaris","Fall",12,13,1.52981698457692,0.213916712989105,1.16070583244107
"172",2015,1.659066608,0.784457128,0.39699008,"Cyphocaris","Fall",15,15,1.52981698457692,0.213916712989105,0.604205354584238
"173",2016,1.27319347,1.116256594,0.606803997,"Cyphocaris","Fall",13,15,1.52981698457692,0.213916712989105,-1.19964219247326
"174",2017,1.433903215,0.935008492,0.4897874,"Cyphocaris","Fall",14,15,1.52981698457692,0.213916712989105,-0.44836968667244
"175",2018,1.818316441,1.056810201,0.732332106,"Cyphocaris","Fall",8,8,1.52981698457692,0.213916712989105,1.34865318558709
"176",2019,1.613598605,0.484624655,0.424792239,"Cyphocaris","Fall",5,6,1.52981698457692,0.213916712989105,0.391655328152616
"177",2020,1.05682651,0.681460491,0.545281957,"Cyphocaris","Fall",6,8,1.52981698457692,0.213916712989105,-2.2110964027435
"178",2021,1.626017785,0.715126074,0.495557086,"Cyphocaris","Fall",8,8,1.52981698457692,0.213916712989105,0.449711474521284
"179",2022,1.596159762,0.821933731,0.930105575,"Cyphocaris","Fall",3,4,1.52981698457692,0.213916712989105,0.310133680047972
"180",1998,0.486066899,0.802433477,0.594451039,"Cyphocaris","Spring",7,13,1.13191554548,0.262477364644641,-2.46058797243104
"181",1999,0.89812007,0.673058214,0.417165803,"Cyphocaris","Spring",10,13,1.13191554548,0.262477364644641,-0.890726237656825
"182",2000,0.75004065,0.800810901,0.523196455,"Cyphocaris","Spring",9,13,1.13191554548,0.262477364644641,-1.4548869613843
"183",2001,1.269734597,0.914537302,0.566836092,"Cyphocaris","Spring",10,13,1.13191554548,0.262477364644641,0.525070234938499
"184",2002,1.447102298,0.885901272,0.708868652,"Cyphocaris","Spring",6,13,1.13191554548,0.262477364644641,1.20081498435768
"185",2003,1.273875582,0.615208298,0.492269162,"Cyphocaris","Spring",6,13,1.13191554548,0.262477364644641,0.540846776300861
"186",2004,0.94127967,0.772270587,0.504550117,"Cyphocaris","Spring",9,13,1.13191554548,0.262477364644641,-0.726294534913877
"187",2005,0.975154647,0.479135304,0.313035065,"Cyphocaris","Spring",9,13,1.13191554548,0.262477364644641,-0.597235874766698
"188",2006,1.469760204,0.120147711,0.117744756,"Cyphocaris","Spring",4,13,1.13191554548,0.262477364644641,1.28713826038826
"189",2007,0.983976615,0.629260263,0.356037511,"Cyphocaris","Spring",12,13,1.13191554548,0.262477364644641,-0.563625479401964
"190",2008,1.058772792,0.316806805,0.358500648,"Cyphocaris","Spring",3,4,1.13191554548,0.262477364644641,-0.278663089973588
"191",2009,1.486605518,0.772148836,0.504470573,"Cyphocaris","Spring",9,13,1.13191554548,0.262477364644641,1.351316419228
"192",2010,1.205200039,0.738512326,0.482494719,"Cyphocaris","Spring",9,13,1.13191554548,0.262477364644641,0.279203098595634
"193",2011,1.294286325,0.40986442,0.359262005,"Cyphocaris","Spring",6,6,1.13191554548,0.262477364644641,0.618608693133703
"194",2012,0.948310418,0.771695337,0.478301725,"Cyphocaris","Spring",10,11,1.13191554548,0.262477364644641,-0.69950842324471
"195",2013,1.266953632,0.577216651,0.357762587,"Cyphocaris","Spring",10,13,1.13191554548,0.262477364644641,0.514475168945799
"196",2014,1.26766844,0.806291967,0.476488103,"Cyphocaris","Spring",11,15,1.13191554548,0.262477364644641,0.517198481872107
"197",2015,1.647018179,0.366394271,0.23937759,"Cyphocaris","Spring",9,15,1.13191554548,0.262477364644641,1.96246496995038
"198",2016,1.186504898,0.495974941,0.434741204,"Cyphocaris","Spring",5,15,1.13191554548,0.262477364644641,0.207977372044658
"199",2017,1.071814342,0.646493463,0.566676506,"Cyphocaris","Spring",5,13,1.13191554548,0.262477364644641,-0.22897671028269
"200",2018,1.336119844,0.717870313,0.497458747,"Cyphocaris","Spring",8,14,1.13191554548,0.262477364644641,0.777988223085311
"201",2019,1.197891775,0.972004388,0.720070928,"Cyphocaris","Spring",7,8,1.13191554548,0.262477364644641,0.251359691946476
"202",2020,1.023136977,0.508692199,0.376844455,"Cyphocaris","Spring",7,8,1.13191554548,0.262477364644641,-0.41443028288276
"203",2021,1.039476405,0.807013815,0.5978442,"Cyphocaris","Spring",7,8,1.13191554548,0.262477364644641,-0.352179475000254
"204",2022,0.773017821,0.897396021,1.015499195,"Cyphocaris","Spring",3,4,1.13191554548,0.262477364644641,-1.36734733284868
"205",1997,2.812681385,0.542121583,0.29470065,"Eucalanus","Fall",13,13,2.11353922596154,0.354175652831731,1.97399836337881
"206",1998,1.812598714,0.505657488,0.274878542,"Eucalanus","Fall",13,13,2.11353922596154,0.354175652831731,-0.849692827712568
"207",1999,1.799557388,0.381221038,0.207234117,"Eucalanus","Fall",13,13,2.11353922596154,0.354175652831731,-0.886514460977675
"208",2000,2.236647924,0.419360949,0.237275794,"Eucalanus","Fall",12,12,2.11353922596154,0.354175652831731,0.347592210402307
"209",2001,1.585234548,0.614244446,0.333907084,"Eucalanus","Fall",13,13,2.11353922596154,0.354175652831731,-1.49164594951007
"210",2002,2.402880702,0.37054895,0.201432704,"Eucalanus","Fall",13,13,2.11353922596154,0.354175652831731,0.816943439576089
"211",2003,2.274077331,0.274518487,0.14922995,"Eucalanus","Fall",13,13,2.11353922596154,0.354175652831731,0.453272560535754
"212",2004,1.767730321,0.449487464,0.244344169,"Eucalanus","Fall",13,13,2.11353922596154,0.354175652831731,-0.976376840691057
"213",2005,2.464193589,0.668091409,0.363178627,"Eucalanus","Fall",13,13,2.11353922596154,0.354175652831731,0.990057786962158
"214",2006,2.29303552,0.338838682,0.184194806,"Eucalanus","Fall",13,13,2.11353922596154,0.354175652831731,0.50680020663007
"215",2007,2.499100053,0.414770875,0.225472016,"Eucalanus","Fall",13,13,2.11353922596154,0.354175652831731,1.08861471407138
"216",2008,1.680311098,0.413031976,0.22452674,"Eucalanus","Fall",13,13,2.11353922596154,0.354175652831731,-1.22320132538124
"217",2009,1.98001505,0.150281803,0.081694119,"Eucalanus","Fall",13,13,2.11353922596154,0.354175652831731,-0.376999872503873
"218",2010,2.461904155,0.416054057,0.226169562,"Eucalanus","Fall",13,13,2.11353922596154,0.354175652831731,0.983593666739055
"219",2011,1.844490651,0.573280557,0.311638861,"Eucalanus","Fall",13,13,2.11353922596154,0.354175652831731,-0.75964729029345
"220",2012,2.357512374,0.292618634,0.159069302,"Eucalanus","Fall",13,13,2.11353922596154,0.354175652831731,0.688847881235848
"221",2013,1.825139539,0.374942132,0.203820865,"Eucalanus","Fall",13,13,2.11353922596154,0.354175652831731,-0.814284337886312
"222",2014,1.612760096,0.458919261,0.249471352,"Eucalanus","Fall",13,13,2.11353922596154,0.354175652831731,-1.41392872705301
